 X== 8401.877172   Y== 3943.829268
 X== 1382.384538   Y== 3604.426046
 X== 3248.070000   Y== 9318.952937
 X== 9084.846545   Y== 6220.954524
 X== 8368.277647   Y== 8181.276116
 X== 4960.744202   Y== 3349.716907
 X== 3943.271597   Y== 6588.311636
 X== 6088.828596   Y== 2589.061196
 X== 1512.299851   Y== 725.450106
 X== 1078.482820   Y== 6472.073820
 X== 3635.982966   Y== 2882.695204
 X== 3313.858203   Y== 911.485795
 X== 4273.277206   Y== 9344.946467
 X== 5835.702981   Y== 2654.613230
 X== 6587.466345   Y== 7617.778078
 X== 4874.268651   Y== 1572.721168
 X== 8830.365915   Y== 6256.653194
 X== 5177.147214   Y== 2078.435911
 X== 5575.606127   Y== 4261.993759
 X== 8299.390435   Y== 3943.883769
 X== 2443.269870   Y== 3260.134632
 X== 7293.600681   Y== 6386.541466
 X== 9848.446273   Y== 3382.429273
 X== 8975.602663   Y== 1360.746120
 X== 4107.879379   Y== 54.085483
 X== 7832.819940   Y== 7743.862349
 X== 2936.780687   Y== 1146.678138
 X== 8655.348145   Y== 7210.057893
 X== 491.624600   Y== 4491.051121
 X== 9864.671128   Y== 7079.090950
 X== 2108.829195   Y== 4738.939775
 X== 8651.812118   Y== 939.195105
 X== 995.592964   Y== 3828.959327
 X== 3017.631016   Y== 6571.199091
 X== 8090.953086   Y== 1317.021447
 X== 515.082861   Y== 534.222955
 X== 4577.156084   Y== 7808.683542
 X== 6920.764422   Y== 4425.602352
 X== 1191.112809   Y== 5896.367084
 X== 5786.348472   Y== 5298.992193
 X== 5950.452567   Y== 3619.168412
 X== 3042.854538   Y== 8887.233254
 X== 4765.846550   Y== 1698.202678
 X== 6097.291147   Y== 5257.471155
 X== 6189.253803   Y== 5961.962271
 X== 2336.562100   Y== 8298.082998
 X== 700.902040   Y== 988.374213
 X== 9237.278108   Y== 1696.495009
 X== 4817.333540   Y== 2254.909120
 X== 8267.694101   Y== 2908.286626
 X== 3571.930571   Y== 8782.776961
 X== 3442.509581   Y== 8149.086655
 X== 6591.460498   Y== 363.273998
 X== 2574.689003   Y== 7782.573312
 X== 6259.641082   Y== 8361.037475
 X== 3081.565501   Y== 2210.093645
 X== 1980.205882   Y== 6124.420038
 X== 1097.326899   Y== 6746.052437
 X== 7822.622716   Y== 7194.618046
 X== 2003.523587   Y== 4011.876515
 X== 3156.580312   Y== 4340.085687
 X== 2309.959513   Y== 3857.482352
 X== 5328.459900   Y== 1547.237617
 X== 5553.977362   Y== 145.793436
 X== 3802.146736   Y== 3821.671463
 X== 3054.080062   Y== 7374.077308
 X== 2604.448419   Y== 6496.589643
 X== 5523.163958   Y== 9195.908922
 X== 6859.863646   Y== 8097.852961
 X== 6978.482230   Y== 3119.504723
 X== 6458.890436   Y== 60.047726
 X== 5329.598372   Y== 8439.096319
 X== 6184.467765   Y== 6426.925271
 X== 5185.148751   Y== 4007.090476
 X== 3621.543312   Y== 7188.672338
 X== 8018.966996   Y== 6778.123624
 X== 1528.758021   Y== 328.926505
 X== 635.605972   Y== 6857.217921
 X== 1876.164121   Y== 6189.583338
 X== 7003.011362   Y== 5678.310858
 X== 11.254796   Y== 57.091420
 X== 3052.388166   Y== 2615.703215
 X== 6553.681067   Y== 8575.552124
 X== 1811.612133   Y== 3413.544709
 X== 6673.405085   Y== 8790.094363
 X== 6533.049432   Y== 3132.295517
 X== 8850.142089   Y== 1862.647800
 X== 1571.391831   Y== 5034.609849
 X== 8289.573071   Y== 6756.540587
 X== 9041.700330   Y== 1911.116378
 X== 3945.212920   Y== 7060.667322
 X== 8689.240002   Y== 5473.970946
 X== 7389.593826   Y== 9324.845979
 X== 2331.188862   Y== 9265.757948
 X== 5514.429312   Y== 9334.200225
 X== 4944.068801   Y== 5525.684108
 X== 9391.291649   Y== 7996.456967
 X== 8141.387323   Y== 5944.972712
 X== 6572.009091   Y== 9952.999460
 X== 9358.517420   Y== 3245.414171
 X== 8743.093819   Y== 5891.566847
 X== 6377.709688   Y== 7593.235908
 X== 7754.214652   Y== 7949.101519
 X== 2627.845752   Y== 6043.787718
 X== 4705.642101   Y== 1669.546078
 X== 7954.904101   Y== 8650.855026
 X== 8730.213399   Y== 6644.144099
 X== 4124.825967   Y== 6119.807221
 X== 5968.990073   Y== 6456.014829
 X== 5385.565164   Y== 1483.419380
 X== 5790.215053   Y== 329.633965
 X== 7009.103488   Y== 5181.506698
 X== 8326.090932   Y== 5150.490811
 X== 1126.479405   Y== 4898.100018
 X== 5103.490267   Y== 484.996820
 X== 8143.514189   Y== 3846.584081
 X== 6376.563667   Y== 4521.223872
 X== 1439.819984   Y== 4130.778315
 X== 2470.325391   Y== 4067.665741
 X== 174.566032   Y== 7175.967492
 X== 5737.211819   Y== 8129.470133
 X== 5826.822513   Y== 4467.425218
 X== 4773.614227   Y== 9951.648479
 X== 587.232434   Y== 742.604300
 X== 6407.663308   Y== 5972.797603
 X== 2226.023680   Y== 2197.878357
 X== 6302.431569   Y== 9235.127172
 X== 7379.385055   Y== 4628.522496
 X== 4385.617978   Y== 8505.864459
 X== 9526.622519   Y== 9489.108245
 X== 8990.861279   Y== 7670.136703
 X== 3335.692321   Y== 5367.424942
 X== 2191.360575   Y== 4775.512309
 X== 9498.203262   Y== 4661.685966
 X== 8843.178050   Y== 9672.769294
 X== 1837.653453   Y== 4580.389864
 X== 7802.239423   Y== 7664.475971
 X== 9047.815082   Y== 2575.853645
 X== 7616.124445   Y== 9635.047521
 X== 3318.457945   Y== 4023.787749
 X== 5607.845120   Y== 5544.481629
 X== 6221.666106   Y== 1910.276684
 X== 4779.608797   Y== 3601.051156
 X== 6538.799180   Y== 9165.226775
 X== 2106.915611   Y== 6065.421694
 X== 8654.335015   Y== 1097.776886
 X== 3735.558397   Y== 1990.027331
 X== 6465.201833   Y== 5926.918972
 X== 6765.539640   Y== 5963.405089
 X== 588.604934   Y== 5608.717685
 X== 5636.174379   Y== 2426.258387
 X== 189.107549   Y== 3438.413797
 X== 90.734353   Y== 9236.922632
 X== 6014.267442   Y== 7706.858803
 X== 8871.970148   Y== 9332.725391
 X== 1730.646548   Y== 4479.815264
 X== 4877.207016   Y== 7952.312659
 X== 6390.091947   Y== 9656.815813
 X== 1553.363810   Y== 2928.891127
 X== 8822.042583   Y== 3660.279426
 X== 8994.312821   Y== 7476.377593
 X== 4758.056311   Y== 2729.871214
 X== 9466.404924   Y== 1223.258139
 X== 8656.790186   Y== 6231.944564
 X== 7186.663229   Y== 9245.395120
 X== 1840.662245   Y== 2822.837603
 X== 1671.653507   Y== 2029.769794
 X== 6261.251399   Y== 1762.387860
 X== 1266.692426   Y== 2275.518841
 X== 9469.246664   Y== 138.662569
 X== 1608.244228   Y== 1199.893212
 X== 4618.477837   Y== 6485.451244
 X== 9152.205870   Y== 1008.569780
 X== 6142.267052   Y== 705.569676
 X== 3937.460908   Y== 4964.309630
 X== 4365.849101   Y== 2931.773729
 X== 2440.687219   Y== 9123.905417
 X== 5661.644943   Y== 1907.092138
 X== 347.163552   Y== 4318.435129
 X== 8139.036702   Y== 7533.826785
 X== 3563.830244   Y== 9979.698951
 X== 356.664383   Y== 5235.483751
 X== 2009.468741   Y== 6617.915787
 X== 6997.871616   Y== 3276.161167
 X== 8893.434628   Y== 6467.118276
 X== 3414.823740   Y== 501.678852
 X== 7667.011487   Y== 8033.301578
 X== 6987.130096   Y== 6819.217353
 X== 9041.871358   Y== 3129.397143
 X== 7524.787033   Y== 2979.332266
 X== 8093.706774   Y== 1890.636129
 X== 5911.105995   Y== 534.393988
 X== 1014.541542   Y== 1572.750933
 X== 2441.486126   Y== 1361.705098
 X== 5891.186062   Y== 580.522828
 X== 8895.531883   Y== 9455.016311
 X== 560.221775   Y== 9252.196266
 X== 4690.500058   Y== 2569.690516
 X== 5870.112048   Y== 1688.371669
 X== 5845.851687   Y== 4763.546672
 X== 8155.489950   Y== 9260.675427
 X== 5265.225524   Y== 5822.501432
 X== 7293.977000   Y== 2252.355615
 X== 2641.718785   Y== 6335.848354
 X== 5381.752758   Y== 166.505813
 X== 9315.180620   Y== 3475.459527
 X== 2057.141942   Y== 5226.286610
 X== 4009.853515   Y== 3071.683488
 X== 6799.037548   Y== 6451.339646
 X== 4433.388586   Y== 2690.223606
 X== 7031.862474   Y== 3328.920465
 X== 2145.239912   Y== 7592.084248
 X== 2581.116726   Y== 6835.739974
 X== 161.774759   Y== 8451.228779
 X== 8524.111644   Y== 6007.626446
 X== 3214.775446   Y== 6679.601589
 X== 5268.301868   Y== 8480.000975
 X== 2502.103021   Y== 2562.278864
 X== 732.356585   Y== 5143.821805
 X== 8898.127223   Y== 6114.109348
 X== 5310.327618   Y== 8213.307838
 X== 9589.568875   Y== 7367.469560
 X== 3439.594448   Y== 3599.422389
 X== 439.153044   Y== 238.631992
 X== 50.762030   Y== 4872.541630
 X== 2928.855597   Y== 7082.624504
 X== 8201.462095   Y== 5074.095514
 X== 4674.708748   Y== 782.578821
 X== 1909.835484   Y== 4836.483507
 X== 9233.807600   Y== 433.947123
 X== 844.109953   Y== 2448.583042
 X== 7113.548716   Y== 6112.411821
 X== 928.584012   Y== 9615.651737
 X== 8674.690690   Y== 1660.940601
 X== 4759.473537   Y== 7572.817908
 X== 7775.049949   Y== 69.801151
 X== 5786.125742   Y== 7364.618819
 X== 7437.270711   Y== 9225.720190
 X== 964.041204   Y== 7876.423759
 X== 9464.352182   Y== 1014.803234
 X== 2748.965385   Y== 2393.207779
 X== 8097.427738   Y== 950.427480
 X== 7467.303294   Y== 2772.136481
 X== 1733.006300   Y== 9377.138777
 X== 7608.619992   Y== 966.813895
 X== 9811.085900   Y== 8452.729945
 X== 3415.396937   Y== 6924.634612
 X== 4565.141762   Y== 4343.980953
 X== 6540.286344   Y== 3239.832447
 X== 6004.921555   Y== 1299.759877
 X== 812.650351   Y== 3779.971499
 X== 1369.561027   Y== 6598.776098
 X== 1144.590313   Y== 8806.831743
 X== 5824.496283   Y== 2108.631522
 X== 6683.255498   Y== 5288.848465
 X== 3123.434756   Y== 9432.220882
 X== 7682.056244   Y== 1220.862493
 X== 382.648357   Y== 5149.359533
 X== 3992.998974   Y== 2115.654658
 X== 4526.498306   Y== 1601.618962
 X== 3082.468553   Y== 4337.584201
 X== 54.348903   Y== 6497.865495
 X== 1262.218813   Y== 4619.490669
 X== 841.846443   Y== 7802.505157
 X== 7859.323117   Y== 6846.767998
 X== 9102.265038   Y== 8671.973473
 X== 626.739492   Y== 471.826061
 X== 5270.749566   Y== 1771.329805
 X== 9278.657804   Y== 1095.245844
 X== 3879.961327   Y== 5961.913297
 X== 6384.094309   Y== 7003.396087
 X== 5394.134179   Y== 4066.150549
 X== 8224.258580   Y== 5776.782537
 X== 9215.510082   Y== 2217.257550
 X== 7892.437199   Y== 3742.008383
 X== 3818.876517   Y== 974.905747
 X== 8079.592589   Y== 3873.225420
 X== 7472.771242   Y== 9341.811402
 X== 8492.716089   Y== 8314.617685
 X== 7144.316555   Y== 6352.039206
 X== 5161.385678   Y== 6246.581588
 X== 5024.012674   Y== 5788.125170
 X== 6718.407654   Y== 294.762235
 X== 7559.454980   Y== 5997.065453
 X== 1390.008080   Y== 1439.416302
 X== 1958.978750   Y== 7774.102393
 X== 8442.812389   Y== 7353.112929
 X== 1840.252938   Y== 6667.070965
 X== 3129.895461   Y== 1055.763020
 X== 8884.328519   Y== 1022.332656
 X== 4797.771403   Y== 2703.205032
 X== 1997.238408   Y== 2877.363988
 X== 6576.430451   Y== 9470.009650
 X== 2219.175385   Y== 5069.146541
 X== 7784.627335   Y== 9363.491945
 X== 1421.185742   Y== 2946.013009
 X== 5610.073528   Y== 6445.198416
 X== 8734.138184   Y== 2328.481177
 X== 6739.960651   Y== 6293.593159
 X== 8325.546635   Y== 8129.968731
 X== 7733.009461   Y== 284.525380
 X== 5904.071120   Y== 6175.821850
 X== 7637.638309   Y== 7744.324062
 X== 2842.892810   Y== 767.533766
 X== 8800.087082   Y== 1727.221325
 X== 1789.866426   Y== 3597.858480
 X== 4430.426357   Y== 3787.104834
 X== 6475.222472   Y== 1006.856808
 X== 3257.114479   Y== 8694.397858
 X== 6076.003348   Y== 1041.741809
 X== 8057.889798   Y== 7497.189090
 X== 3987.754823   Y== 3667.963326
 X== 3942.387502   Y== 2721.893002
 X== 5996.444503   Y== 682.348148
 X== 9015.486161   Y== 4321.991133
 X== 8812.316879   Y== 6748.495617
 X== 4606.516512   Y== 4716.387999
 X== 2924.317463   Y== 2244.154817
 X== 2460.712056   Y== 5767.210278
 X== 3011.688587   Y== 1260.799133
 X== 7494.431603   Y== 4801.555013
 X== 4858.657613   Y== 1924.857959
 X== 8588.659846   Y== 1333.880081
 X== 2931.714767   Y== 1845.774321
 X== 28.277938   Y== 9007.718116
 X== 2887.516135   Y== 8086.167736
 X== 6504.907201   Y== 6875.270958
 X== 1754.131057   Y== 447.294698
 X== 9597.163959   Y== 7750.575565
 X== 1129.642847   Y== 8612.650115
 X== 2072.566693   Y== 9941.959726
 X== 5361.145728   Y== 6679.083210
 X== 4658.347720   Y== 8285.463195
 X== 8923.238026   Y== 7119.059776
 X== 4052.673468   Y== 1934.926609
 X== 8379.858908   Y== 1547.105066
 X== 6736.481621   Y== 3238.516521
 X== 3471.963025   Y== 5325.141463
 X== 4572.396602   Y== 6403.677792
 X== 7170.915789   Y== 4600.674540
 X== 5411.395903   Y== 58.431919
 X== 2686.842276   Y== 1916.303100
 X== 6933.702876   Y== 4440.973333
 X== 2363.597798   Y== 6530.866831
 X== 2191.548893   Y== 3493.240645
 X== 5143.516942   Y== 4264.115591
 X== 3435.200371   Y== 504.662665
 X== 943.198796   Y== 8093.548090
 X== 8790.125860   Y== 9866.436822
 X== 5212.607866   Y== 2842.799324
 X== 1801.363431   Y== 3592.466770
 X== 4389.904395   Y== 8537.845052
 X== 6830.983291   Y== 7861.867420
 X== 3862.986515   Y== 1403.379893
 X== 4265.545213   Y== 1033.902299
 X== 6004.054433   Y== 9676.941116
 X== 1092.334218   Y== 8690.896709
 X== 1593.244216   Y== 8026.037094
 X== 3131.870042   Y== 3956.842015
 X== 4556.903920   Y== 5323.418935
 X== 7450.082664   Y== 9700.420862
 X== 9587.534526   Y== 885.283030
 X== 205.083522   Y== 530.733317
 X== 8978.831120   Y== 8995.209387
 X== 397.170140   Y== 4191.438981
 X== 1838.008706   Y== 2198.533570
 X== 7783.905756   Y== 6227.913101
 X== 736.378618   Y== 4614.889042
 X== 4089.780522   Y== 4599.365133
 X== 6018.268934   Y== 8355.325734
 X== 5633.267432   Y== 2022.323367
 X== 8032.266846   Y== 6725.601650
 X== 713.220071   Y== 9625.511062
 X== 4751.638740   Y== 3845.090114
 X== 3582.353077   Y== 9308.542660
 X== 9168.509054   Y== 1032.435736
 X== 9008.963517   Y== 8756.043575
 X== 1917.718766   Y== 9214.047044
 X== 9286.776897   Y== 896.549882
 X== 8209.256427   Y== 9683.947037
 X== 5087.988868   Y== 47.265128
 X== 1882.480603   Y== 2871.894619
 X== 6275.178234   Y== 2618.859221
 X== 7486.783661   Y== 364.958751
 X== 7218.224358   Y== 3505.052595
 X== 8720.284486   Y== 2851.491786
 X== 5527.375962   Y== 6752.551327
 X== 9577.093441   Y== 6240.596034
 X== 6378.062389   Y== 4328.732176
 X== 85.686147   Y== 9960.415466
 X== 3637.274836   Y== 9254.195201
 X== 992.851197   Y== 2646.238349
 X== 8010.238771   Y== 2910.569963
 X== 1860.285388   Y== 7297.015664
 X== 3807.119845   Y== 69.541810
 X== 6980.962696   Y== 8895.108713
 X== 116.806943   Y== 8863.443299
 X== 1767.003327   Y== 6391.985177
 X== 1482.302519   Y== 9253.786993
 X== 6756.943928   Y== 8700.526878
 X== 2758.839583   Y== 5477.228409
 X== 1552.018659   Y== 8286.215546
 X== 2229.779732   Y== 1129.112095
 X== 4526.811575   Y== 8607.842121
 X== 5457.844276   Y== 4612.497722
 X== 8568.257582   Y== 9095.119112
 X== 3866.692918   Y== 9561.108779
 X== 1741.357456   Y== 1876.931690
 X== 2471.678738   Y== 3601.642849
 X== 9173.947353   Y== 6278.798588
 X== 3671.184659   Y== 6154.910049
 X== 5173.907296   Y== 3787.991602
 X== 5018.353343   Y== 6940.910629
 X== 179.976774   Y== 6500.655863
 X== 6194.697617   Y== 6936.920703
 X== 5201.182736   Y== 8953.537200
 X== 2414.149108   Y== 6753.201399
 X== 7239.752741   Y== 4643.928844
 X== 7882.313495   Y== 1766.564311
 X== 3251.770960   Y== 3340.157766
 X== 6379.062038   Y== 1820.028542
 X== 2435.276873   Y== 245.754952
 X== 1381.137316   Y== 4176.634333
 X== 2122.686641   Y== 3852.816058
 X== 7778.277182   Y== 1296.633995
 X== 131.614641   Y== 1449.461836
 X== 7451.544044   Y== 5305.521938
 X== 5237.453443   Y== 2469.897383
 X== 2246.432562   Y== 5417.430217
 X== 8970.553251   Y== 8441.130178
 X== 2354.350920   Y== 4171.735982
 X== 7394.667374   Y== 4768.500028
 X== 924.937376   Y== 4634.420110
 X== 9412.428871   Y== 8807.250875
 X== 6400.984426   Y== 2664.199831
 X== 2147.408636   Y== 2780.046460
 X== 4484.228373   Y== 4582.685514
 X== 3025.801411   Y== 5865.365689
 X== 8759.319847   Y== 5148.488057
 X== 9718.181747   Y== 6537.597024
 X== 6445.122052   Y== 9849.796388
 X== 7987.058860   Y== 3896.666092
 X== 5155.318326   Y== 3224.512298
 X== 6366.563475   Y== 7401.750887
 X== 8641.942520   Y== 5337.116721
 X== 5842.881066   Y== 996.293435
 X== 9508.852707   Y== 3237.548435
 X== 5764.793463   Y== 433.790079
 X== 7871.968550   Y== 5177.222334
 X== 9241.040954   Y== 4272.952971
 X== 7841.422166   Y== 1388.449590
 X== 7052.999431   Y== 2325.650534
 X== 5971.135104   Y== 78.800838
 X== 8191.016222   Y== 4730.454946
 X== 5227.288895   Y== 7909.197969
 X== 1268.051966   Y== 1672.410942
 X== 7758.994353   Y== 9255.110826
 X== 5569.077034   Y== 2914.312674
 X== 2479.623124   Y== 1935.640509
 X== 316.063562   Y== 1121.565640
 X== 7272.757230   Y== 6158.944627
 X== 2117.859075   Y== 6781.609932
 X== 9396.493062   Y== 7882.652538
 X== 7215.400016   Y== 7268.461607
 X== 3059.874868   Y== 6456.440965
 X== 1541.414574   Y== 901.297029
 X== 7844.890555   Y== 8594.414004
 X== 3226.947562   Y== 3816.025655
 X== 8673.214847   Y== 1417.963785
 X== 8546.480601   Y== 3900.503737
 X== 9327.161754   Y== 9814.532567
 X== 5572.914684   Y== 7086.156102
 X== 9069.643393   Y== 1141.991714
 X== 0.468777   Y== 1549.266512
 X== 3077.632223   Y== 316.532338
 X== 2670.832152   Y== 350.389453
 X== 6475.476966   Y== 4788.691227
 X== 7131.999385   Y== 5871.970023
 X== 2671.343760   Y== 4347.399396
 X== 3140.431630   Y== 5731.218632
 X== 803.840361   Y== 4681.846204
 X== 6632.515661   Y== 8648.730916
 X== 3276.260208   Y== 9859.463228
 X== 2464.756571   Y== 1949.475050
 X== 1277.427008   Y== 1011.237167
 X== 5849.978787   Y== 604.588758
 X== 825.769734   Y== 1422.893466
 X== 7690.744860   Y== 9895.413127
 X== 2564.885184   Y== 7691.213637
 X== 1444.679634   Y== 5642.517407
 X== 8007.745975   Y== 4115.511786
 X== 5992.906860   Y== 4483.222936
 X== 8904.203013   Y== 3124.906245
 X== 355.192959   Y== 1575.546768
 X== 7472.305641   Y== 3495.624589
 X== 7306.765400   Y== 8276.146002
 X== 8177.470792   Y== 3939.281061
 X== 6924.876919   Y== 1453.730996
 X== 3798.744284   Y== 9389.633489
 X== 3403.206045   Y== 5076.171292
 X== 400.870652   Y== 9253.184837
 X== 5680.760050   Y== 1226.640386
 X== 676.078298   Y== 3371.504905
 X== 1122.053508   Y== 3240.963483
 X== 1062.718542   Y== 2566.733143
 X== 8883.480895   Y== 9070.464517
 X== 6682.244929   Y== 4876.387750
 X== 3553.687452   Y== 5586.447937
 X== 8001.293995   Y== 3908.880411
 X== 7161.994710   Y== 5473.599637
 X== 7404.504999   Y== 4468.760106
 X== 3749.745634   Y== 5581.975787
 X== 8408.041167   Y== 674.622548
 X== 7035.706787   Y== 2206.785447
 X== 64.256033   Y== 438.912828
 X== 7282.956740   Y== 465.126690
 X== 9692.097665   Y== 2963.716785
 X== 1691.767076   Y== 368.175963
 X== 6335.221695   Y== 2813.820589
 X== 3609.139446   Y== 7397.940237
 X== 5380.553731   Y== 2492.620336
 X== 6468.404749   Y== 2062.798660
 X== 7369.008091   Y== 22.092196
 X== 7649.246597   Y== 5370.302082
 X== 3930.972607   Y== 4811.241303
 X== 843.901714   Y== 1335.477601
 X== 9280.001414   Y== 4593.647353
 X== 6917.453393   Y== 7688.042576
 X== 5268.269901   Y== 3953.160175
 X== 9894.828028   Y== 5332.525938
 X== 4392.073003   Y== 7177.784763
 X== 5797.652628   Y== 4084.170667
 X== 141.501548   Y== 7489.419704
 X== 4452.346631   Y== 6476.723243
 X== 303.240288   Y== 8061.486077
 X== 3874.663475   Y== 5683.794024
 X== 554.106413   Y== 343.068219
 X== 7746.592685   Y== 7923.114504
 X== 365.160420   Y== 5395.839277
 X== 3293.416581   Y== 4296.133027
 X== 207.080580   Y== 4137.318299
 X== 5631.610633   Y== 9487.081994
 X== 8730.965652   Y== 2549.064021
